chain,project,symbol,tvlUsd,apyBase,apyReward,apy,rewardTokens,pool,apyPct1D,apyPct7D,apyPct30D,stablecoin,ilRisk,exposure,poolMeta,mu,sigma,count,outlier,underlyingTokens,il7d,apyBase7d,apyMean30d,volumeUsd1d,volumeUsd7d,apyBaseInception,predictedClass,predictedConfidence,binnedConfidence
BSC,apeswap-amm,RADAR-WBNB,17875,0.7448,9.63627,10.38107,0x603c7f932ED1fc6575303D8Fb018fDCBb0f39a95,d18ab400-819f-4dd5-8a82-8ab664235b5f,-0.06911,-0.72735,-6.37544,false,yes,multi,,88.16973,1.22526,193,true,"0x489580eB70a50515296eF31E8179fF3e77E24965,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c",-0.04561,,12.22027,,,,Stable/Up,62,1
Arbitrum,camelot,TTG-WETH,17872,4.29839,,4.29839,,6be23772-36d3-42e7-b310-cba5b7b50da8,4.29839,4.29839,,false,yes,multi,,3.88102,0.33379,24,false,"0x09018cbec65e8c1dd419caf9c3ee3b103d9d7290,0x82af49447d8a07e3bd95bd0d56f35241523fbab1",,0.87766,4.01729,701.55012,1005.46787,,Down,68,2
Polygon,quickswap-dex,USDC-ORION,17870,0.83877,,0.83877,,b116f3d7-6628-453f-9f77-69195a7eae27,0.83876,0.83877,0.83877,false,yes,multi,,5.27186,0.58521,388,false,"0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x5e0294af1732498c77f8db015a2d52a76298542b",-0.00565,0.31681,1.68645,136.88065,362.89885,,Stable/Up,77,3
Arbitrum,sushiswap,YDT-WETH,17867,0.13074,0,0.13074,,9eff7959-c7bd-4b66-bd73-db6afceb3964,-0.1039,,,false,yes,multi,,0.67322,0.05914,6,false,"0x6fdbbd18a7575c0125c56be4afdbd1392c2be118,0x82af49447d8a07e3bd95bd0d56f35241523fbab1",,,0.58706,21.33186,,,,,
Polygon,quickswap-dex,WETH-WISE,17847,1.8172,,1.8172,,c97eb262-d45b-4085-a3e7-82cd7fc19ede,1.0646,-0.8833,1.13929,false,yes,multi,,1.47908,0.17541,358,false,"0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0xb77e62709e39ad1cbeebe77cf493745aec0f453a",,2.44813,3.61168,296.1859,2800.8245,,Down,63,2
Polygon,meshswap,OMATIC-OKSP,17844,0.19868,5.73739,5.93607,0x82362Ec182Db3Cf7829014Bc61E9BE8a2E82868a,9c7e85a7-7c9b-4af7-a8f4-f63a436ffc25,0,0,0,false,yes,multi,,7.88715,0.18497,234,false,"0x3f364853f01d32d581fc9734110b21c77aeea024,0x3d3b92fe0b4c26b74f8ff13a32dd764f4dfd8b51",,,5.93607,,,,Stable/Up,81,3
Arbitrum,sushiswap,WETH-MAGNET,17831,0,0,0,,ade6fdd8-96ca-4296-97b1-e62389e426f2,0,-0.00016,0,false,yes,multi,,0.00561,0.00216,345,false,"0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0x8ed4191f81f1e1d24a8a1195267d024d9358c9d7",,0.01955,0.03325,,22.34901,,,,
Arbitrum,uniswap-v3,SPA-WETH,17821,366.05947,,366.05947,,12a12bdd-10eb-40b8-b395-b5235f419d63,-217.04254,58.44906,,false,yes,multi,1%,449.52661,2.88197,32,true,"0x5575552988a3a80504bbaeb1311674fcfd40ad4b,0x82af49447d8a07e3bd95bd0d56f35241523fbab1",-3.61644,598.60761,1054.53153,17872.83125,205150.91903,,Down,95,3
Gnosis,swapr,GNO-DXD,17812,,0,0,0x6cacdb97e3fc8136805a9e7c342d866ab77d0957,74693ed2-c9a4-4c0e-9ddd-5211235663f8,0,0,0,false,yes,multi,,17.73087,1.02283,291,false,,,,0,,,,,,
Heco,mdex,MX-USDT,17807,0,0,0,0x9c65ab58d8d978db963e63f2bfb7121627e3a739,a5ea3556-8a07-4757-8aa3-284cec1e76ad,0,0,0,false,yes,multi,,0,0,201,false,"0x8d854e603dc777337134286f5b3408261736a88f,0xa71edc38d189767582c38a3145b5873052c3e47a",,,0,,,,,,
Arbitrum,sushiswap,WETH-BASE,17780,0,0,0,,0867bfe2-1f10-4135-9ce9-f2645d7a08bd,0,0,,false,yes,multi,,0,0,25,false,"0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0xd491cf60c4c003ed078d1d37f5d4112ca0631a77",,0,0,,,,,,
Solana,francium,ETH,17772,0.00152,,0.00152,,c7dfe713-a5bc-471c-880b-1362b8ceb983,0,-0.00893,-0.00893,false,no,single,Lending Pool,0.00695,0.00023,206,false,,,,0.00972,,,,Stable/Up,64,2
Polygon,quickswap-dex,WMATIC-WBTC,17768,13.89913,,13.89913,,33d77bba-8466-4f70-9f16-bac8764e8b39,4.37573,6.61662,4.14756,false,yes,multi,,8.70812,0.40989,358,false,"0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,0x1bfd67037b42cf73acf2047067bd4f2c47d9bfd6",-0.48925,22.01936,12.05526,2255.36059,25079.70746,,Down,73,2
BSC,beefy,RAMP-BUSD,17765,,,0,,bce4c287-25fa-490f-b03e-a7c14fdf7473,0,0,0,false,yes,multi,Pancakeswap,21.80344,1.20919,359,false,,,,0,,,,,,
Arbitrum,sushiswap,WETH-VULTURE,17741,,0,0,,27cbcc9a-2184-42c6-8790-1f0ef548424e,,,,false,yes,multi,,0,0,1,false,"0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0xde7fc725328d294b9e90b9b65fb17b441859afae",,,0,,,,,,
Polygon,sushiswap,WMATIC-UNITY,17730,0.48712,0,0.48712,,34483019-257e-496f-b14f-f474a39a50f4,-2.25798,-7.74777,-3.32733,false,yes,multi,,1.91809,0.18901,343,false,"0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,0x7e94de269df2eb9f4d0443d46500191f19c9a8da",,1.30796,4.10633,78.87599,1486.58422,,Down,80,3
